Px Code,Supply #,Description,Unit Price
272000379,716,DRL BIT SPS SS QC 3.5X125,424.8
272000379,719,SHR ACE ELECSURG CVD 5X23,1385.65
272000379,720,NRV STM NDL INT 20GAX5,240
272000379,735,SKIN CLSR BGL DRM 5,2601
272000379,740,SUT TGR FBRWR SZ 50,300
272000379,747,DRL BIT AXS SM FRAG QC 4.3X289,452.1
272000379,757,TB TRACH PVC SHILEY 8X13.3X105,364.86
272000379,759,TROC KII OPT ADV FIX 12X100,21
272000379,765,DRL BIT SYN SS 2X110,347.58
272000379,786,ANCH SUT SWV 4.75X19.1,6960
272000379,816,LIGASURE BLUNT TIP 5,1999.22
272000379,824,SET RNG BLDWRMNG IRR,231.66
272000379,837,SPNG VAC WND LG BLK,328.32
272000379,838,BLA SHVR QDC STR TP 4.3X13,991.71
272000379,860,ANCH SUT PSH 3.5,962.5
272000379,871,STPLR EEA 28X4.8,1327.4
272000379,872,DRL BIT SYN CANN SS QC 2X105,368.1
272000379,879,SPNG HMST SRG OXD AGNT 2X3,236.16
272000379,882,CAN VAC WND DRN 500ML,192
272000379,922,SLR AQM BIPLR 2.3,2070
272000379,952,DRSG WOUND VAC MD SILVER,428.04
272000379,954,SPNG VAC WND MD BLK,271.98
272000379,955,SOL ELCTRD ANTI STK 4,180
272000379,987,DRP ORM TB O ARM,266.76
272000379,1001,STPLR ENDO GIA UNI STD 12,561.94
272000379,1018,TB IRR HYSTSCPY UT FLD DL,219.12
272000379,1054,TB TRACH CUF SHILEY DCT SZ-8,216.3
272000379,1058,TROC KII OPT Z THRD 15X100,276
272000379,1091,TB TRACH CUF SHILEY DCT SZ-6,216.3
272000379,1093,DV S/SI DRP ACCY 4 ARM 20X13X1,1274
272000379,1135,RMR NXG 32,1056
272000379,1179,RMR NXG 38,1056
272000379,1189,SNR RTH ENDO FB 1.8X160,522.5
272000379,1192,BSKT TRP ENDO 2.5X3.2,1252.5
272000379,1198,BLN EXT ENDO 7-6FX12-15,768.63
272000379,1202,BSKT TRP ENDO 2X3.2,1252.5
272000379,1220,BSKT TRP ENDO 3.2X1.5,1252.5
272000379,1230,RMR NXG 35,1056
272000379,1237,RMR NXG 51,1056
272000379,1243,SPHINCTEROTOME B R II 6.0 5X20,941.88
272000379,1272,RMR NXG 21,1056
272000379,1338,CUF ATS TOURNIQ DL PRT 42X4,165.6
272000379,1342,SUT PSR FBR FBRWR 18GA,412.56
272000379,1353,SUT FBR 5 CCS 1 BRD BLU 38,240
272000379,1363,STPLR PRT 35.5X5,1275.45
272000379,1408,BLA TPS SW 29.5X7X0.38,177
272000379,1436,HEMOSTAT GELFILM 25X50,1044.2
272000379,1494,TUBING FLOSTEADY DISP CASSETTE,261
272000379,1495,SPNG HMST SRG LSE KNT 4X8,431.28
272000379,1537,RTRC ALX WND RNG 360D LG,258
272000379,1558,STPL TA 45X3.5,281.28
272000379,1559,BLA SW 85X25X1.19,157.14
272000379,1560,KT PRSS MNTR COMPRT QCK STICK,591.2
272000379,1563,FILT SCL SMK EVAC LAPSC 15HG,190.8
272000379,1567,SUT PSR STR ELB WR LP,168
272000379,1581,DRSG AQC AG SURG ADH 3.5X14,198.54
272000379,1595,RTRC ALX WND RNG 360D MED,168
272000379,1619,SPNG HMST SRG DNSE WV 3X4,366.78
272000379,1623,TB TRACH NMT ORAL 7X9.5,1517
272000379,1624,BLA RESECT FRM STR 4,252
272000379,1660,SOL SLK OPTH VL 8.5ML,1850
272000379,1678,ELCTRD CLL 27F,617.93
272000379,1708,SUT PSR STR ELB LT 25D,770
272000379,1743,ASSY INSUFF BLB AND BLDR,167.88
272000379,1765,STPLR GIA 100X3.8,1026.63
272000379,1817,NDL BIOP NVG CRAN 2.2,2506.19
272000379,1834,TROC VRS DIL EXP SLV LNG12X100,265.92
272000379,1840,BLA SHVR FRM SM JNT TP 2.5,252
272000379,1856,STPLR TA 60X3.5,413.99
272000379,1859,DEVICE KNOT SUT TK5 PLACEMENT,1072.5
272000379,1872,CANN TWS SHLDR PTHRD 8.25X9,150.06
272000379,1891,CATH CHOLANG TAUT 4.5FX18,420.36
272000379,1898,CLP APR END INTNL ENDO 5X11,674.25
272000379,1936,STPL TA 30X3.5,202.56
272000379,1945,STPLR ENDO GIA UNI SHRT 12,478.12
272000379,1973,DEV KYP BIOP VRTBRL 10,715
272000379,1992,STPLR EEA XL 21X4.8,1636.15
272000379,1995,TROC SPC BLNT TP 7/8-5X10,418.74
272000379,2040,STPL TA 90X3.5,223.74
272000379,2047,STBL OCT HOLD 16,330
272000379,2052,KT RANEY CLIP GUN,357.72
272000379,2053,CLP APR PRM INTNL ENDO 13,320.58
272000379,2058,STPL ENDO GIA RLD 100X48,534.99
272000379,2076,TB TRACH SHILEY 7.6X12.2X81,233.94
272000379,2094,STPLR TA 45X3.5,578.66
272000379,2097,STPLR TA 30X4.8,436.74
272000379,2110,OBTRTR END DV BLNT S SI 8,24.5
272000379,2116,STPL EGIA MD THCK 45,822.03
272000379,2118,BLA SHVR FRM ACROMIOPLASTY,252
272000379,2137,TROC VRS EXP SLV LNG 150,243
272000379,2218,INSERT PRONE VIEW LG,150.72
272000379,2221,DRSG AQC AG SURG ADH 3.5X12,198.84
272000379,2239,BUR RND SM JNT 3,252
272000379,2241,FCP ILM CONFORMAL 25GA,726
272000379,2245,CUTR FRM YEL STR 3.5,252
272000379,2273,STPL TA V3 30X3.5,213.54
272000379,2281,KT SNS DRSG NEG PRS,1840
272000379,2287,STPL TA 60X4.8,211.86
272000379,2292,STPLR GIA 80X4.8,641.3
272000379,2293,STPLR TA 45X4.8,587.35
272000379,2319,STPL TA 30X4.8,188.4
272000379,2324,STPL ENDO GIA STR 60X4.8,644.44
272000379,2331,STPLR TA V3 30X2.5,444.84
272000379,2337,STPLR TA 60X4.8,444.96
272000379,2354,KT PERFLUORON 5ML,1880
272000379,2357,DRL BIT MDT SS 11,740.14
272000379,2369,ST DIL AMPTZ RNL 6-30FX30X16,1001
272000379,2375,CLP HMOL PLMR XL,435.44
272000379,2385,STBL OCT CARD DL VAC TB,4162.5
272000379,2401,STPL GIA RLD 80X3.8,364.8
272000379,2402,SYS DELIVERY ANGIASSIST GAS,522.5
272000379,2422,BLA SKIMMER ANG TIP 4,1898.65
272000379,2424,SUT FBRSTCK 2-0 MF BL 50,300
272000379,2428,STPL GIA RLD 60X3.8,249.54
272000379,2440,STPLR TA 30X3.5,436.74
272000379,2445,STPLR GIA 60X3.8,435.22
272000379,2446,SHR ACE LAPSCP CVD 5X45,2177.73
272000379,2465,STPL GIA RLD 80X4.8,364.8
272000379,2512,STPL TA 60X3.5,211.86
272000379,2517,STPLR GIA 80X3.8,641.3
272000379,2538,STPLR EEA ORVIL DST 25,426.09
272000379,2556,DEV MNN DIL INFLAT 18FX41,2136.6
272000379,2580,TROC KII BLA Z THRD 12X100,21
272000379,2616,SCRP TN MEMBRN OPTH SFTTP 25GA,751.19
272000379,2625,FCP MAXGRIP 23GA,786.5
272000379,2626,DRILL BIT TWIST SOLID 3.5X70,496.1
272000379,2640,FCP GRS OPTH ILUM 23GA,726
272000379,2643,BLA DRM FOR SKN GRFT 1.25-4.25,300
272000379,2647,RLD ENDO GIA INTNL TAN 60,1044.78
272000379,2658,STPL EGIA MD THCK 60,1060.68
272000379,2662,TB SURG IRR ASPTC STR,170.16
272000379,2668,TB TRACH SIL BVN 6X9.2X110,898.92
272000379,2673,CANN TWS SHLDR PTHRD 6X7,150.06
272000379,2681,TAP BN SLD SS QC 4X70,1014.75
272000379,2687,DRL BIT CANN SS QC 4.0,496.1
272000379,2689,ADPT VLL PD,711.04
272000379,2717,DRP SLSH WRMR 66X44 44X66,266.28
272000379,2722,TB CNW ASCP PMP 16,330
272000379,2726,STPLR EEA ORVIL DST 21,458.21
272000379,2748,CANN PSS SHLDR UNTHRD 8X4,192
272000379,2757,BLA ART OPTH BNNA 4,157.86
272000379,2764,DRL BIT ALP SS SLD QC 2.9X70,462.83
272000379,2785,SKIN CLSR BGL DRM 27,441
272000379,2811,PIN SKL MYF ADLT DISP,630.25
272000379,2849,TB TRACH NMT ORAL 6X8.2,1517
272000379,2850,GUIDEPIN SS TRANS TIB 2.4X30,192
272000379,2864,SUT PSR STR ELB 45D,632.5
272000379,2882,DRAPE MICROSCOPE LEICA 54X150,187.62
272000379,2890,MANIPULATOR UTERINE INJ KRONER,237.24
272000379,2901,ELCTRD NMR NDL EMG 2CHNL 12,472.18
272000379,2954,FIBR LSR VRS HO 1000UM,3523.68
272000379,2976,BUR MDS DISCT FLUT 10X3,314.82
272000379,2989,PK OPTH PHACO MALYUGIN 6.25,710.44
272000379,2996,KT MAC CATH 2LM,328.86
272000379,3013,BUR VISAO SHVR SNS CVD 4X110,1387.5
272000379,3022,TAP BN SLD SS QC 3.5X70,1034.55
272000379,3023,DRL BIT SS QC 1.5X85,347.58
272000379,3027,SYS XTRT ALX BLN CNTN 12X100,1625
272000379,3033,PK CNSTN VITRECT AUTO GAS FLL,438
272000379,3070,STPLR EEA XL 25X4.8,1521.6
272000379,3085,OATS ST OSTEOCHONDRAL  8,2340
272000379,3106,TB TRACH SIL BVN 8X11.7X130,898.92
272000379,3133,BLA SW RECIP LNG,199.74
272000379,3134,STPLR TA 90X4.8,439.56
272000379,3152,DRL BIT ART CANN SS 11,924
272000379,3155,BUR MDS DISCT BLL 14X6,407.88
272000379,3160,OATS ST OSTEOCHONDRAL 10,2340
272000379,3185,DEVICE KNOT SUT TK5 QCK LOAD,252
272000379,3187,CANN OPTH DL BORE 25GA,261.6
272000379,3219,DEV EGL DIL INFLAT 10CC,250.8
272000379,3221,SPNG HMST SRG DNSE WV 9X6,802.23
272000379,3222,BSKT ZRT ENDO 1.9FX0.63X120,1141.9
272000379,3249,CABLE CARTO 3 INTERFACE 34PIN,1550
272000379,3270,TB TRACH PVC SHILEY 8X13.3X105,364.86
272000379,3277,KT TRKR FUSN NAV PDCL,1218.75
272000379,3278,CLP APR INTNL ENDO MD 10,428.34
272000379,3294,LUBRICANT ROTAGLIDE,467.5
272000379,3298,BUR MDS DISCT TPRD 8X1.1,265.32
272000379,3308,CBL PACE TEMP SFTY CONN 12,225
272000379,3310,PK CNSTN VITRECT VISCUS,354
272000379,3320,STPL TA 45X4.8,261.66
272000379,3337,CABLE CARTO INTERFACE 25-34,1550
272000379,3352,SUT PSR STR ELB RT 25D,770
272000379,3354,TOOL FIXATION GREEN,180
272000379,3387,OATS ST OSTEOCHONDRAL  6,2340
272000379,3388,TB TRACH SIL BVN 7X9.6X120,868.95
272000379,3392,STPL TA 90X4.8,223.74
272000379,3409,RTRC ALX WND RNG SM 2.5-6,168
272000379,3418,BUR MDS DISCT FLUT 14X3,360.36
272000379,3428,ELECTRODE ONESTEP RES ADULT,397.8
272000379,3460,STYLT LD LCK LBR 140,2335.5
272000379,3461,KT TRM ARTHSCP SM JNT 2X100,1050
272000379,3473,BUR MDS RND 12X2.5,352.44
272000379,3476,DRL BIT VRT SS 2.4X10-24,959.48
272000379,3478,SKIN CLSR BGL DRM 10,3429
272000379,3487,BLA SW 18.5X9X0.38,282
272000379,3499,CANN TWS SHLDR PTHRD 6X9,150.06
272000379,3503,KT TRANSTIBIAL ACL,797.5
272000379,3513,ST MND ENDO MNSCS REPR,744.76
272000379,3523,CMNT BN PREP SYS VAC MXV MIX,239.4
272000379,3567,ST CRW INTUB SUT 0.016X0.025,467.5
272000379,3579,BLA SHVR FRM TMC STR 4,252
272000379,3596,NDL IVAS ACCESS CANN 11GA,415.98
272000379,3605,RTRC IRS OPTH NYL HK FLX,416.7
272000379,3695,DRL BIT SYN SS QC 2.5X110,351.12
272000379,3695,DRL BIT SYN SS QC 2.5X110,347.58
272000379,3733,DRL BIT ART CANN SS 8.5,1072.5
272000379,3754,SHTH DRYSL FLX 20FX33,1520
272000379,3774,VAC PREVENA PEEL/STICK 13CM,1980
272000379,3787,SHTH DRYSL FLX 12FX33,1265
272000379,3798,DRL BIT SYN TI QC 2.8X165,429.36
272000379,3805,TAP BN CANN SS QC 4X110,565.62
272000379,3816,CAPSULE BRAVO PH MONITORING,1094
272000379,3832,DRL BIT SYN CANN SS QC 3.5X160,1744.9
272000379,3873,TAP BN CANN SS QC 2.7X100,565.62
272000379,3923,DRL BIT SYN SS QC 2.7X100,351.12
272000379,3923,DRL BIT SYN SS QC 2.7X100,347.58
272000379,3966,DRL BIT SS QC 3.5X110,368.1
272000379,3970,SHTH DRYSL FLX 14FX33,1265
272000379,3973,DRL BIT SYN SS QC 1.1X60,347.58
272000379,4084,KT TLS DRN CATH 7FX15ML,182.58
272000379,4108,DRL BIT DVR SS 2.5,450.73
272000379,4116,DRL BIT SYN SS QC 3.5X195,388.5
272000379,4133,SHTH DRYSL FLX 24FX33,1520
272000379,4158,SHTH DRYSL FLX 18FX33,1520
272000379,4163,DRL BIT SYN SS QC 2.5X180,388.5
272000379,4187,EXT BULLDOG LEAD 70,1140
272000379,4194,CATH FGR DIL BIL 6FX0.4MLX23,560.95
272000379,4197,TB TRACH PVC SHILEY 6X11X95,364.86
272000379,4210,SHNT CAROTID ARG 8-14FX6,23.21
272000379,4223,TB TRACH PVC SHILEY 7X12.3X100,364.86
272000379,4230,DRL BIT QC NSTRL 4.5X195,509.85
