Px Code,Supply #,Description,Unit Price
250000007,52596,SYNVISC ONE,2023.61
250000007,56703,MIST PAIN EASE AE 3.5OZ,229.26
250000026,54,INHALENT DESFLURANE,769.12
255000003,12418,CST VISIPAQUE 320 100ML,206.34
255000003,38080,AGNT NVP CNTRST VSPQ 150ML,284.88
271000105,56716,CIRCUIT BREATHING T1 180CM,324.72
271000116,148,STRP GHL ANKL RESTRNT DSTRCT,223.26
271000116,670,STPLR SCRSTP TI 5,2594.79
271000116,1653,BLWR AXS MSTR CMPLT C02 16.5,330
271000116,2433,DETERGENT ULTRA ENZYME,252
271000116,3090,SLV SHLDR JNT PAIN,411
271000116,4250,STRAP UPPER FOREARM,360
271000116,7806,CAST SPLINT FIBERGL 4INX15FT,347.64
271000116,7924,SPLINT FIBERGLASS 2INX15FT,197.88
271000116,8089,CAST SPLINT FIBERGL 3INX15FT,289.74
271000116,9811,PAD DEFIB ADULT STAT,164.94
271000116,22762,CLS TR BAND REG 24,150.06
271000116,27446,CLS TR BAND LNG 29,150.06
271000116,27985,DEVICE BULB BLADDER ASSY DISP,24.99
271000116,28035,PAD DEFIB PED 2300 MF,174.3
271000116,28104,TOTE DEEP BL,249.36
271000116,28106,STRP DVN PSTN BED 60X4,216.78
271000116,28128,FILTER VAPOR-CLEAN,449.28
271000116,28405,VEST HALO COOLING,588.83
271000116,31691,FILT LSR GAS DISP,360
271000116,32019,ILLUM LGH ULTHN MALL 2 SD,442.75
271000116,32020,SPLNT NSL GOODE MAGNE STD,496.1
271000116,33939,SPLNT NSL GOODE MAGNE LG,563.75
271000116,35633,BRSH CYTO THN BRSTL 2X6X115,169.62
271000116,35812,BULB ALM HALOGEN 23V 100 WATT,205.62
271000116,36374,STRAP MATERIAL HOOK LOOP BACK,398.28
271000116,36681,PARAFILM 4INX250FT,186
271000116,38123,DRAPE RAD PAD XLNG,324
271000116,40906,BLN CVFX BRCHTX TRDCR 2X14,192
271000116,40921,BRA MASTECTOMY LG,222
271000116,40928,BRA COMFORT WEAR 4XL BEIGE,195
271000116,40939,BRA MASTECTOMY MD,210
271000116,40969,BRA MASTECTOMY 2XL,222
271000116,40970,BRA COMFORT WEAR 3XL BEIGE,222
271000116,40977,BRA COMFORT WEAR SM BEIGE,195
271000116,40984,BRA MASTECTOMY XL,222
271000116,40996,KT TSS CAN LPSCTN 500ML,1120
271000116,41018,CLEANER CELL OSCAR,180
271000116,41158,JAR NLG SMPL WD MTH STR SD XL,231.54
271000116,41376,WRP THER SHLDR,162.24
271000116,41589,PAD BLD PSTN HIP,297.6
271000116,41600,KT CHEMO EMERGENCY SPILL,22.17
271000116,42113,FILT SMK EVAC CRBN REPL,342.84
271000116,42165,CLEANER HIBICLENS 1GAL,245.1
271000116,42169,CAST SPLINT FIBERGL 5INX15FT,412.14
271000116,43287,SPLNT FNGRNL LG 22,316.8
271000116,45015,CAST HIPSTER LINER PED SZ 8,558.25
271000116,45027,BRACE KNEE WEE ROM,583
271000116,45042,BRACE ELBOW WEEBOW LT,490.6
271000116,45045,CAST HIPSTER LINER PED SZ 2,508.75
271000116,45054,CAST HIPSTER LINER PED SZ 6,558.25
271000116,45058,CAST HIPSTER LINER PED SZ 4,508.75
271000116,45276,STOCKINETTE BIAS BABY HAT,182.7
271000116,51687,GUN EVENT RELATED,625.85
271000116,51719,SOL 3E-ZYME,575.3
271000116,51733,LUBRICANT OPTIPRO3-5L,218.94
271000116,51735,WRP ONS STER KC500 HD 18X18,234.3
271000116,51857,CLN LNS TBSET,214.8
271000116,51867,SHTH INSCLR LNS 0D 4X180,984.5
271000116,51867,SHTH INSCLR LNS 0D 4X180,214.8
271000116,53708,GIRDLE ABOVE KNEE SM POWERNET,432
271000116,53709,GIRDLE ABOVE KNEE MD POWERNET,408
271000116,53710,GIRDLE ABOVE KNEE 2XL POWERNET,438
271000116,53711,GIRDLE ABOVE KNEE 3XL POWERNET,423.5
271000116,53717,VEST COMP ADJUSTABLE XS,427.46
271000116,54787,GIRDLE ABOVE KNEE LG POWERNET,408
271000116,54788,GIRDLE ABOVE KNEE XL POWERNET,408
271000116,54998,CLEANER LIQUID DESCALER,188.94
271000116,56310,KIT HALO TRAUMA MD CUSTOM SHOR,5504
271000116,56316,KIT HALO TRAUMA LG CUSTOM ST,5504
271000116,56319,KIT HALO TRAUMA SM CUSTOM SHOR,5504
271000116,56920,CABLE 12FT TRANSDUCER FOR H-P,550
271000116,58283,GRMNT DBL REINF BGE 2XL,330
271000116,58284,GRMNT DBL REINF BGE XL,300
271000116,58285,GRMNT DBL REINF BGE MD,300
271000116,61766,CUSH RK HI DENSITY RNG,492.25
271000116,81274,BRACE BOW WEE RT,490.6
271000116,88550,PAD DEFIB RADIOLUC PRO PADZ,214.5
271000116,555172,TPE TRP SAF ORNG 8X125FT,925.05
271000126,25939,KT PRV WND DRSG NEG 20,1980
272000094,13551,CATH DRN SPBC 12F,79.2
272000379,102,TISS CLSR DRS SPRAY 5,2810.7
272000379,109,BUR RND FLUT 3,306
272000379,112,SLR LAPSC DIV 10X20,1753.7
272000379,126,STPLR ENDO GIA ROT 30X3.5,672.98
272000379,156,BUR MDS DISCT FLUT 9X3,358.38
272000379,163,KT TISS CLSR FLS HMST 10ML,1241.25
272000379,170,RTRC ALX ATR XL,324
272000379,176,NRV STM PRBE VRS EXT,248.16
272000379,177,TROC VRS DIL EXP SLV 12X100,269.88
272000379,179,TB TRACH NMT ORAL 8X10.7,1517
272000379,181,SHTH INTRO PERIT 61,253.8
272000379,184,STPL ENDO GIA STR 45X4.8,462
272000379,188,STPLR ENDO GIA UNI XL 12,785.13
272000379,189,TROC KF Z THRD 12X150,21
272000379,192,STPLR TA 90X3.5,437.09
272000379,198,STPL ENDO GIA STR 30X2.5,432.63
272000379,200,CRR DRM SKN GRFT 1.5:1,17.84
272000379,204,BLA PRC SW SAG 90X19.5X1.33,1739.95
272000379,255,TROC XCL BLALS Z THRD 5X100,729.69
272000379,277,PRBE CNT VITRECT ANT 23,1045
272000379,292,DRL BIT STR SS 1/8X4,569.25
272000379,299,BUR RND CUT FLUT 5.5X50,207.3
272000379,307,SPNG HMST SRG FIBRLR ABS 1X2,390.18
272000379,322,CATH ACC BLN INFLAT 20X61,447.3
272000379,336,STPL ENDO GIA STR 45X3.5,432.63
272000379,349,STPL GIA RLD 100X3.8,534.99
272000379,354,PRBE WAND 90X3.5,632.5
272000379,372,DV S/SI DRP CAM ARM 11X8.5X10,246.96
272000379,380,SUT FBRLP SZ 15,300
272000379,383,CAU ELCTRD CUT LP 24F,2083.68
272000379,384,BLN BAKRI POSTPARTUM 24FRX54,1245
272000379,394,TRKR AXM PT ENT NON INV,559.08
272000379,411,SHR ACE ELECSURG CVD 5X36,1406.45
272000379,417,RTRC END LAPSC 12,541.81
272000379,419,STPL ENDO GIA STR 45X2.5,432.63
272000379,422,DRL BIT SS QC LG 3.2X145,335.34
272000379,438,APPL FLOSEAL 5ML NDL FREE,755.15
272000379,443,DV S/SI DRP CAM HD 11X8.5X10IN,241.08
272000379,451,CTR PSH MNS KNOT MNSCL SZ:2-0,687.5
272000379,462,TROC BLN 10,816.42
272000379,477,TB TRACH SHILEY 6.4X10.4X76,233.94
272000379,493,BUR RND CUT FLUT 3.2X54,199.8
272000379,501,BG INZ ENDO SP RET LAPSC 5,240
272000379,503,STPLR PRSTR 65,373.74
272000379,515,SLR LAPSC DIV 37X10,1753.7
272000379,517,DV S/SI DRP ACCY 3 ARM 20X13X1,1078
272000379,537,DRN OSS THOR DRY SUCT 2000ML,172.62
272000379,545,RNG OPT MALYUGIN EXP LP 7,710.44
272000379,546,SPNG VAC WND SM BLK,215.7
272000379,548,STPL ENDO GIA ROT 45X2.5,812.35
272000379,580,DRL BIT STR SS 2.5X125,424.8
272000379,587,TR CRTCR URN CATH 16FR,209.22
272000379,602,STPLR EEA 31X4.8,1301.4
272000379,608,DV SI DRP INST ARM 22X17X13,264.6
272000379,619,CATH KMR CHOLANG 19GAX1.25,209.4
272000379,624,DEV END SUT GRP HNDL 10X10X15,727.54
272000379,679,TRKR INST AXM NAVG FUSN,459.03
272000379,681,DRSG NSP NSL FM ABSORB 4,420.75
272000379,684,DRP EQUIP WRMR 44X44,223.74
272000379,688,SHR FCS ELECSURG CVD TP 9,1385.65
272000379,691,PRBE NRV STM NMR EXT 0.5,548.41
272000379,697,DRL BIT ASN CANN SS QC 2.7X150,950.4
272000379,705,TROC KII BLN BLNT TP 12X130,21
272000379,716,DRL BIT SPS SS QC 3.5X125,424.8
272000379,719,SHR ACE ELECSURG CVD 5X23,1406.45
272000379,720,NRV STM NDL INT 20GAX5,240
272000379,735,SKIN CLSR BGL DRM 5,2601
272000379,738,STPL ENDO GIA ROT 45X2.0,893.15
272000379,739,ADH DRMBND PRNO 22CM,424.5
272000379,740,SUT TGR FBRWR SZ 50,300
272000379,741,DRL BIT STR SS 1/8X8,569.25
272000379,742,STPLR EEA 25X3.5,1425.75
272000379,747,DRL BIT AXS SM FRAG QC 4.3X289,452.1
272000379,765,DRL BIT SYN SS 2X110,347.58
272000379,824,SET RNG BLDWRMNG IRR,231.66
272000379,828,PRBE SRF ARTH MAX ANG 90D 4,632.5
272000379,835,TB TRACH CUF SHILEY DCT SZ-4,216.3
272000379,837,SPNG VAC WND LG BLK,328.32
272000379,838,BLA SHVR QDC STR TP 4.3X13,991.71
