Essentia Health-Holy Trinity Hospital (Graceville),
,
DESCRIPTION, CHARGE 
TIP SUCTION YANKAUER W BULB CONTROL ON OFF SWITCH 8888505164,10
CANNULA ASPIRATION VACURETTE CURVED ROUND TIP 9MM 21552,139
"BALLOON PTA ADMIRAL INPACT OTW 0.035"" 6MMX40MMX130 ADM06004013P","3,126"
PROBE GOLD 7FR (INJECTION)  M00560150,968
SCREW SYNT CORT S-TAP 4.5 X 60MM 214.860,81
DRESSING FOAM 4X4IN MEPILEX AG SILICONE 287100,31
BIT DRILL SYNT 1.25 4MM STOP  03.503.104,615
DEFIBRILLATOR MOMENTUM EL ICD DR IS1 D121,"36,900"
SCREW SYNT LCK S-TAP STRDRV 3.5 X 24MM 212.108,403
"RABIES VACCINE,HUMAN DIPLOID INJECTABLE ",774
STENT SYNERGY MR 3.50MM X 38MM  H7493926038350,"3,290"
ASSEMBLY BALL TAPER GLOBAL DEPUY 1130-00-000,588
STYLET STRAIGHT 59CM X-SOFT  5005,175
MOMETASONE 110 MCG/INH AEROSOL POWDER BREATH ACTIVATED ,168
TRAY MBT REV TIBIAL SZ 2 15MM  129435215,"18,454"
DRESSING TRANSPARENT TEGADERM 8X12 1629,40
SCREW ACUM CORT NON-LCK 3.5 X10MM CO-3100,280
PLATE TIMBERLINE MPF 2 HOLE SZ 10 X 23MM 8605-0210,"6,933"
"DOPPLER ECHO HEART,LIMITED,F/U",487
NITROUS OXIDE (PER HOUR),20
CATHETER URETHRAL 14FR RED RUBBER LATEX STERILE 0094140,18
PLATE BIO TIBIAL INTERLOK FIXED CRUCIATE 75MM 141234,"2,095"
BEVACIZUMAB 100 MG/4ML SOLUTION 16 ML VIAL ,18
BEARING TIB BIO OXFORD RT MED 4MM 159576,"1,620"
SCREW SYNT CANC 6.5 X 45MM 70MM THREAD 217.070,121
DRAIN CHANNEL FLAT FULL FLUTE 10MM LF 072214,46
SUTURE NOVAFIL #1 DYD 30IN GS-21 8886445571,31
TOPIRAMATE - REF,127
MORPHINE (PRESERVATIVE FREE) 1 MG/ML SOLUTION ,40
SCREW SYNT VA LCK STRDRV S-TAP 5 X 24MM 02.231.224,559
MESH SURGICAL SEPRAMESH 4 X 8 5959480,"1,135"
CEMENT QUICKSET 8 CC KIT ABS-3008,"4,689"
CATHETER INFUSION 10CM LENGTH 100CM CRAGG-MCNAMARA 41050-01,293
TISSUE DECULLULARIZED DERMIS 4 X 7CM AFLEX301,"9,048"
"CULTURE SPEC, BACTERIA,QUANT,AEROBIC",51
PLUG BONE INTRAMEDULLARY MEDIUM 16MM 130611,462
DRILL ART PROFILE STD COMPRESSION AR-8737-54,450
SCREW MEDT ATLANTIS S-DRILL VARIABLE 4.0 X 17MM 3120517,"1,008"
