Essentia Health-Northern Pines (Aurora),
,
DESCRIPTION, CHARGE 
SUTURE ETHILON 2-0 DYD 30IN KS 628H,8
SUTURE PROLENE 4-0 DYD 36IN V-,31
GUIDEWIRE TFE COATED AMPLATZ . 035IN X 180CM EXTRA STIFF G03330,121
CANNULA VACURETTE 14MM 21593A,178
PLATE ART CALCANEAL FRACTURE M ED RIGHT AR-8954PR-M,"2,574"
DILATOR COONS 6FR,188
TUBING LAMIS SET LAM TUBING,37
SYSTEM REMOVAL TISSUE SAC W/ INTRODUCER PLEATMAN STERILE 004942-901,194
SCREW SYNT CORT TI S-TAP 4.5 X 38MM 414.838,81
SCREW ART TI QUICKFIX 2 X 11MM AR-8930-11,660
PAROXETINE CR 37.5 MG TABLET EXTENDED RELEASE 24 HOUR ,11
BLADE SAGITTAL OSSILATING CUT 4118-135-090,167
LENS IOL ZA9003 24.5D ACRY TECNIS ZA90032450,632
SET ULTRAXX NEPHROSTOMY BALLOON G30357,740
SUTURE CHROMIC GUT 5-0 27IN FS -2 634G,11
SCREW WRIGHT LOCKING 2.7X16MM 58802716,610
PAD POSITIONED LATERAL UNIVERSAL HIP 1007-LPM,97
"CYTOGEN, INTERP/REPORT - REF",238
CLINDAMYCIN 900 MG/6ML SOLUTION 4 ML VIAL ,7
SCREW CANNULATED 3.0MM X 32MM  200-30-032,450
CATHETER GUIDING 50CM/45CM(CS- W) ACUITY PRO 8111,"1,002"
CATHETER SUPPORT 2:6FR X 150CM CXI G50001,555
SCREW 3.5 X 18MM NON LOCKING  58813518,403
GUIDEWIRE ROSEN THSCF 35 180,47
TUBE JONES MODIFIED FOR DMEK 80000-DMEK,309
BALLOON COR RX 3.50 X 12MM NC EMERGE H7493926712350,435
COMPONENT FEM DPO PFC SIGMA KN EE NONPOR CRUC-RTAN LFT SZ3 96-0003,"3,501"
ADVAIR DISKUS 500-50 MCG/DOSE AEROSOL POWDER BREATH ACTIVATED ,250
PIPERACILLIN - TAZOBACTAM 40.5 (36-4.5) G RECON SOLN 1 EACH VIAL ,19
CATHETER THORACIC 28FR STRAIGHT PVC 8028,23
INA PENCIL PUSH BUTTON SMOKE E VACUATION NEPTUNE 0703-046-000,100
STENT PROMUS PREMIER MR 4.00 MM X 20M H7493952820400,"2,820"
