Px Code,Supply #,Description,Unit Price
272000379,765,DRL BIT SYN SS 2X110,347.58
272000379,786,ANCH SUT SWV 4.75X19.1,6960
272000379,803,KT VBS KYP 10X2,9420
272000379,835,TB TRACH CUF SHILEY DCT SZ-4,216.3
272000379,837,SPNG VAC WND LG BLK,328.32
272000379,854,TB TRACH PVC SHILEY SZ-10,216.3
272000379,871,STPLR EEA 28X4.8,1327.4
272000379,872,DRL BIT SYN CANN SS QC 2X105,368.1
272000379,910,BLA SHVR STR TP 360D 2,1025.2
272000379,912,APPL VTG PWDR HMST 3GR,885.23
272000379,939,STPL ENDO GIA ROT 45X3.5,763.79
272000379,952,DRSG WOUND VAC MD SILVER,428.04
272000379,954,SPNG VAC WND MD BLK,271.98
272000379,955,SOL ELCTRD ANTI STK 4,180
272000379,966,BG INZ ENDO SP RET LAPSC 12-15,550
272000379,1001,STPLR ENDO GIA UNI STD 12,553.63
272000379,1017,RTRC LNS RNG 14.1X14.1,412.89
272000379,1030,DRL BIT ZMM TI 30,869
272000379,1054,TB TRACH CUF SHILEY DCT SZ-8,216.3
272000379,1057,STPLR GIA UNI TI 12,450.23
272000379,1058,TROC KII OPT Z THRD 15X100,276
272000379,1091,TB TRACH CUF SHILEY DCT SZ-6,216.3
272000379,1093,DV S/SI DRP ACCY 4 ARM 20X13X1,1274
272000379,1135,RMR NXG 32,1056
272000379,1165,TAP BN DHS SS 12.5X220,1557.9
272000379,1179,RMR NXG 38,1056
272000379,1230,RMR NXG 35,1056
272000379,1233,RMR NXG 26,1056
272000379,1237,RMR NXG 51,1056
272000379,1241,LGTR 6SH 6 BND ENDO 2.8X122,831.88
272000379,1272,RMR NXG 21,1056
272000379,1280,GD INS LCP 3.5,5884.16
272000379,1338,CUF ATS TOURNIQ DL PRT 42X4,165.6
272000379,1341,BLA SHVR STR TP 2.0X7,270
272000379,1342,SUT PSR FBR FBRWR 18GA,412.56
272000379,1353,SUT FBR 5 CCS 1 BRD BLU 38,240
272000379,1363,STPLR PRT 35.5X5,1275.45
272000379,1365,BLA SYS SW SAG 90X21X1.27,285
272000379,1427,RETRIEVER SUT CVD SM YEL,316.68
272000379,1436,HEMOSTAT GELFILM 25X50,1044.3
272000379,1439,SCRWDVR SHFT QC SM 2.7,292.5
272000379,1537,RTRC ALX WND RNG 360D LG,258
272000379,1556,DRL BIT STR SS 3.3X25,429
272000379,1558,STPL TA 45X3.5,285.48
272000379,1560,KT PRSS MNTR COMPRT QCK STICK,591.2
272000379,1566,SUT STR CRKSCRW RT 45D,715
272000379,1567,SUT PSR STR ELB WR LP,168
272000379,1570,BLA SAG HYPERBLADE,528
272000379,1573,BLA TRC SHVR ROT 4X130,1284.8
272000379,1578,BLA RD SHVR SNS CVD ROT 4X110,1284.8
272000379,1581,DRSG AQC AG SURG ADH 3.5X14,198.54
272000379,1595,RTRC ALX WND RNG 360D MED,168
272000379,1619,SPNG HMST SRG DNSE WV 3X4,366.78
272000379,1623,TB TRACH NMT ORAL 7X9.5,1517
272000379,1660,SOL SLK OPTH VL 8.5ML,1850
272000379,1693,BSKT TRC ENDO 3FX120,1043.15
272000379,1701,CAU ELCTRD HK VPR 3.5,825
272000379,1708,SUT PSR STR ELB LT 25D,770
272000379,1731,CLMP EXT FX SS ADJ 4-6,1493.75
272000379,1757,STPL ENDO GIA VASC MD CRV 60X2,1355.05
272000379,1765,STPLR GIA 100X3.8,1026.63
272000379,1798,WOUND VAC CANISTER W/GEL INFO,230.4
272000379,1817,NDL BIOP NVG CRAN 2.2,2506.19
272000379,1856,STPLR TA 60X3.5,413.99
272000379,1891,CATH CHOLANG TAUT 4.5FX18,330
272000379,1893,BSKT DMN ENDO 2.4FX10X115,880
272000379,1903,TB MSS FD BLN 18FX18X20ML,1275
272000379,1915,STPL DST LAPSC 60X2.5,285.96
272000379,1917,SUT STR CRKSCRW LT 45D,715
272000379,1926,BLA PDG DERMTM  10X8,431.2
272000379,1936,STPL TA 30X3.5,205.62
272000379,1945,STPLR ENDO GIA UNI SHRT 12,478.12
272000379,1973,DEV KYP BIOP VRTBRL 10,522.5
272000379,1986,DRL BIT ASN CANN SS QC 2.8,815.1
272000379,1992,STPLR EEA XL 21X4.8,1636.15
272000379,2040,STPL TA 90X3.5,227.1
272000379,2053,CLP APR PRM INTNL ENDO 13,325.38
272000379,2054,STPLR EEA 21X4.8,1327.4
272000379,2060,STPLR EEA 25X4.8,1327.4
272000379,2068,NDL SPN MTRX BVL,573.93
272000379,2076,TB TRACH SHILEY 7.6X12.2X81,233.94
272000379,2094,STPLR TA 45X3.5,587.35
272000379,2097,STPLR TA 30X4.8,436.74
272000379,2110,OBTRTR END DV BLNT S SI 8,24.5
272000379,2116,STPL EGIA MD THCK 45,822.03
272000379,2119,PK FRG VR VAC LIN,343.98
272000379,2143,PK VITR CONSTELLATION+ 23GA,2335.5
272000379,2160,KIT CONN BCK EXT DRN,222
272000379,2164,CUF ATS TOURNIQ SGL PRT 42,156.66
272000379,2195,PRBE LSR PRP 23,1012
272000379,2273,STPL TA V3 30X3.5,213.54
272000379,2281,KT SNS DRSG NEG PRS,1840
272000379,2287,STPL TA 60X4.8,215.04
272000379,2292,STPLR GIA 80X4.8,641.3
272000379,2293,STPLR TA 45X4.8,587.35
272000379,2303,PK CNSTN VITRECT 20GA,426
272000379,2319,STPL TA 30X4.8,191.22
272000379,2321,TROC VRS DIL EXP SLV 5X100,389.88
272000379,2324,STPL ENDO GIA STR 60X4.8,644.44
272000379,2331,STPLR TA V3 30X2.5,444.84
272000379,2337,STPLR TA 60X4.8,413.99
272000379,2352,BSKT ENDO 2.4X14,632.5
272000379,2353,STPLR ENDO GIA UNI 12,490.66
272000379,2354,KT PERFLUORON 5ML,1880
272000379,2357,DRL BIT MDT SS 11,740.14
272000379,2383,STPL SMGD ENDO BLK 45,840.57
272000379,2401,STPL GIA RLD 80X3.8,364.8
272000379,2402,SYS DELIVERY ANGIASSIST GAS,522.5
272000379,2424,SUT FBRSTCK 2-0 MF BL 50,300
272000379,2428,STPL GIA RLD 60X3.8,249.48
272000379,2440,STPLR TA 30X3.5,436.74
272000379,2445,STPLR GIA 60X3.8,435.22
272000379,2446,SHR ACE LAPSCP CVD 5X45,2177.73
272000379,2465,STPL GIA RLD 80X4.8,364.8
272000379,2487,TB IRR GEN INFLOW 60,436.21
272000379,2512,STPL TA 60X3.5,215.04
272000379,2517,STPLR GIA 80X3.8,641.3
272000379,2538,STPLR EEA ORVIL DST 25,426.09
272000379,2556,DEV MNN DIL INFLAT 18FX41,2136.6
272000379,2583,BUR XPS HISPD 5X12.5,1128.8
272000379,2592,RETRIEVER SUT CV LG GRN,314.1
272000379,2626,DRILL BIT TWIST SOLID 3.5X70,496.1
272000379,2640,FCP GRS OPTH ILUM 23GA,726
272000379,2643,BLA DRM FOR SKN GRFT 1.25-4.25,210
272000379,2647,RLD ENDO GIA INTNL TAN 60,1044.78
272000379,2658,STPL EGIA MD THCK 60,1060.68
272000379,2673,CANN TWS SHLDR PTHRD 6X7,150.06
272000379,2681,TAP BN SLD SS QC 4X70,1014.75
272000379,2687,DRL BIT CANN SS QC 4.0,496.1
272000379,2689,ADPT VLL PD,711.04
272000379,2717,DRP SLSH WRMR 66X44 44X66,266.28
272000379,2722,TB CNW ASCP PMP 16,330
272000379,2726,STPLR EEA ORVIL DST 21,458.21
272000379,2731,STPLR EEA 33X4.8,1327.4
272000379,2748,CANN PSS SHLDR UNTHRD 8X4,192
272000379,2750,MRCLTR TRC LAPSC FBRD ULT 4.0,4045.5
272000379,2754,TB TRACH SHILEY 6.4X10.4X76,248.64
272000379,2764,DRL BIT ALP SS SLD QC 2.9X70,462.83
272000379,2779,GRASPER ENDO 23GA,726
272000379,2785,SKIN CLSR BGL DRM 27,441
272000379,2809,ELCTRD SPHR PLSB ABL,2070
272000379,2813,DRAPE ISO,24.94
272000379,2833,PK VITRECTOMY TOTAL + 23GA,1811.25
272000379,2849,TB TRACH NMT ORAL 6X8.2,1517
272000379,2850,GUIDEPIN SS TRANS TIB 2.4X30,192
272000379,2855,MRCLTR PRN INCSR 2.9,3113.78
272000379,2861,BUR MDS DISCT BLL 10X6,358.38
272000379,2864,SUT PSR STR ELB 45D,632.5
272000379,2867,ST CRW INTUB 0.016X0.025,451
272000379,2901,ELCTRD NMR NDL EMG 2CHNL 12,472.18
272000379,2906,RETRIEVER SUT CV MD BL,314.1
272000379,2923,STPLR SMGD PRP 45X3-3.5,840.57
272000379,2942,PK INF VITRECT ANT,726
272000379,2948,STPLR ENDO GIA 60X2.5,487.58
272000379,2952,DEV DIL INFLAT SNS 7X24,447.3
272000379,2976,BUR MDS DISCT FLUT 10X3,314.82
272000379,2977,HNDPC ARG+ ELECSURG RETR 1,260.94
