DRG,DRG Description,Avg Charge
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$17,715 "
59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$14,470 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$8,956 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$25,497 "
73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$19,690 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$12,513 "
76,VIRAL MENINGITIS W/O CC/MCC,"$10,031 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$6,888 "
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$15,071 "
101,SEIZURES W/O MCC,"$6,641 "
103,HEADACHES W/O MCC,"$13,542 "
153,OTITIS MEDIA & URI W/O MCC,"$11,477 "
158,DENTAL & ORAL DISEASES W CC,"$11,190 "
175,PULMONARY EMBOLISM W MCC,"$16,630 "
176,PULMONARY EMBOLISM W/O MCC,"$14,237 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$18,855 "
184,MAJOR CHEST TRAUMA W CC,"$10,800 "
186,PLEURAL EFFUSION W MCC,"$11,196 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$15,344 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$14,526 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$13,178 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$12,813 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$15,829 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$12,341 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$16,132 "
196,INTERSTITIAL LUNG DISEASE W MCC,"$17,506 "
202,BRONCHITIS & ASTHMA W CC/MCC,"$11,718 "
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$17,646 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$14,008 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$19,486 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$10,891 "
291,HEART FAILURE & SHOCK W MCC,"$16,401 "
292,HEART FAILURE & SHOCK W CC,"$14,657 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"$15,672 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$13,072 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$7,165 "
305,HYPERTENSION W/O MCC,"$5,416 "
