DRG,DRG Description,Avg Charge
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$16,518 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$14,767 "
312,SYNCOPE & COLLAPSE,"$14,245 "
313,CHEST PAIN,"$19,954 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$27,867 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$14,300 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$14,789 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$18,462 "
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$24,605 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$21,289 "
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$7,552 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$14,697 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$15,526 "
375,DIGESTIVE MALIGNANCY W CC,"$12,560 "
377,G.I. HEMORRHAGE W MCC,"$21,190 "
378,G.I. HEMORRHAGE W CC,"$16,898 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$13,447 "
386,INFLAMMATORY BOWEL DISEASE W CC,"$8,864 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$12,731 "
389,G.I. OBSTRUCTION W CC,"$12,099 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$13,088 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$20,118 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$13,265 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$15,127 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$13,821 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$13,072 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"$39,913 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$32,980 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$26,722 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$16,949 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$37,154 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$9,931 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$42,610 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$14,250 "
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$7,468 "
444,DISORDERS OF THE BILIARY TRACT W MCC,"$14,093 "
445,DISORDERS OF THE BILIARY TRACT W CC,"$12,368 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$11,670 "
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$33,898 "
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","$70,162 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$31,653 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$48,199 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$44,758 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$33,665 "
475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,"$40,602 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$36,224 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$19,554 "
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$28,732 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"$30,720 "
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,"$18,989 "
516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"$31,502 "
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$35,250 "
536,FRACTURES OF HIP & PELVIS W/O MCC,"$8,226 "
539,OSTEOMYELITIS W MCC,"$74,818 "
540,OSTEOMYELITIS W CC,"$22,778 "
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$21,558 "
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,"$13,917 "
553,BONE DISEASES & ARTHROPATHIES W MCC,"$54,188 "
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$37,332 "
555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,"$15,317 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$9,878 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$8,949 "
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","$26,087 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$8,469 "
570,SKIN DEBRIDEMENT W MCC,"$25,706 "
571,SKIN DEBRIDEMENT W CC,"$17,770 "
572,SKIN DEBRIDEMENT W/O CC/MCC,"$32,611 "
592,SKIN ULCERS W MCC,"$9,855 "
593,SKIN ULCERS W CC,"$20,133 "
602,CELLULITIS W MCC,"$19,083 "
603,CELLULITIS W/O MCC,"$10,028 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$10,855 "
607,MINOR SKIN DISORDERS W/O MCC,"$9,573 "
616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","$61,728 "
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$36,485 "
622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC","$30,825 "
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$26,321 "
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$16,550 "
637,DIABETES W MCC,"$5,683 "
638,DIABETES W CC,"$10,887 "
639,DIABETES W/O CC/MCC,"$16,003 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$11,626 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$11,890 "
644,ENDOCRINE DISORDERS W CC,"$15,729 "
645,ENDOCRINE DISORDERS W/O CC/MCC,"$24,141 "
682,RENAL FAILURE W MCC,"$16,896 "
683,RENAL FAILURE W CC,"$9,639 "
684,RENAL FAILURE W/O CC/MCC,"$9,783 "
687,KIDNEY & URINARY TRACT NEOPLASMS W CC,"$13,176 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$22,967 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$11,402 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$9,300 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$11,479 "
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$10,371 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$8,485 "
811,RED BLOOD CELL DISORDERS W MCC,"$17,272 "
812,RED BLOOD CELL DISORDERS W/O MCC,"$11,745 "
813,COAGULATION DISORDERS,"$11,257 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$27,874 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$25,997 "
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$9,120 "
864,FEVER,"$6,971 "
866,VIRAL ILLNESS W/O MCC,"$11,662 "
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"$10,023 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$18,530 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$15,810 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$10,921 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$9,277 "
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","$4,292 "
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,"$12,620 "
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,"$30,861 "
947,SIGNS & SYMPTOMS W MCC,"$15,053 "
974,HIV W MAJOR RELATED CONDITION W MCC,"$18,399 "
975,HIV W MAJOR RELATED CONDITION W CC,"$10,170 "
977,HIV W OR W/O OTHER RELATED CONDITION,"$8,719 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$39,428 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$20,205 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$30,670 "
